P1	1.39	0.47	4379
P2	3.04	0.94	4443
P3	5.60	1.87	4898
P4	6.26	2.59	1579
P5	7.73	1.57	1069
P6	8.86	0.10	7607
P7	10.00	1.51	8867
P8	10.13	0.41	4447
P9	10.47	0.70	9872
P10	10.86	0.27	5084
P11	11.65	0.30	4214
P12	12.17	1.36	8893
P13	12.78	1.10	7331
P14	13.91	2.51	4407
P15	15.69	0.70	5167
P16	16.00	0.06	8303
P17	17.86	0.20	4332
P18	18.60	0.80	3938
P19	19.39	0.09	8368
P20	21.47	1.45	4684
P21	22.86	1.64	6274
P22	25.56	0.77	6113
P23	28.13	1.03	1579
P24	29.13	0.93	2750
P25	30.69	2.57	8692
P26	31.00	2.56	5117
P27	34.17	1.11	4800
P28	34.39	1.36	9158
P29	34.69	1.43	3430
P30	35.08	1.45	8095
P31	35.34	2.02	3268
P32	37.21	1.05	4161
P33	40.39	0.60	8890
P34	42.13	1.85	4518
P35	45.82	0.31	5740
P36	49.52	2.36	9959
P37	50.17	2.04	8477
P38	53.60	1.64	960
P39	54.52	2.52	758
P40	54.78	1.12	8349
P41	56.08	2.18	6044
P42	58.52	0.87	4973
P43	60.60	0.01	3594
P44	61.04	1.53	9727
P45	61.08	0.27	9380
P46	64.34	0.37	5114
P47	65.86	2.06	4383
P48	66.00	1.55	64
P49	69.34	0.34	9052
P50	70.13	1.11	2751
P51	71.47	2.62	4748
P52	71.56	0.72	1678
P53	71.60	0.52	5216
P54	72.60	1.25	6327
P55	74.73	0.92	4428
P56	75.82	1.06	3908
P57	76.13	1.27	7797
P58	79.86	2.33	5581
P59	80.69	0.16	9418
P60	83.04	0.64	1227
P61	83.08	2.48	28
P62	83.69	0.59	9039
P63	84.56	2.47	5388
P64	84.73	0.25	5271
P65	88.56	0.22	3557
P66	88.69	1.94	7481
P67	89.43	0.22	5230
P68	90.65	2.34	2035
P69	91.21	0.26	4793
P70	92.21	2.43	2341
P71	95.34	1.68	6736
P72	96.65	0.75	837
P73	97.82	2.38	7314
P74	98.13	1.15	331
P75	99.69	0.51	6917
P76	100.73	0.69	3046
P77	101.47	1.60	1797
P78	102.26	1.11	1300
P79	103.13	1.21	3110
P80	105.13	0.79	7201
P81	105.86	2.15	4051
P82	107.47	2.32	7858
P83	109.78	1.02	8879
P84	111.04	1.93	9267
P85	111.43	1.97	537
P86	112.13	1.87	9660
P87	113.21	1.19	9527
P88	118.47	0.13	4686
P89	119.52	1.46	1593
P90	119.86	1.61	5297
P91	121.86	0.05	2265
P92	123.39	2.20	7973
P93	124.26	2.42	4336
P94	124.60	0.59	4006
P95	124.73	2.55	3244
P96	125.73	1.50	7894
P97	125.82	2.51	1487
P98	127.13	1.58	4827
P99	127.43	0.64	9929
P100	128.69	2.62	6280
